from,to,amount
wallet_860,wallet_2589,447
wallet_699,wallet_3144,395
wallet_2527,wallet_1834,483
wallet_1225,wallet_2805,591
wallet_1139,wallet_3757,279
wallet_1589,wallet_3555,61
wallet_1710,wallet_4299,432
wallet_456,wallet_4273,287
wallet_3837,wallet_1225,220
wallet_2079,wallet_4793,483
wallet_1080,wallet_142,867
wallet_654,wallet_3784,83
wallet_1731,wallet_4729,952
wallet_4236,wallet_4893,88
wallet_640,wallet_2710,932
wallet_1505,wallet_1229,66
wallet_313,wallet_3808,514
wallet_203,wallet_1149,103
wallet_34,wallet_218,276
wallet_457,wallet_4702,199
wallet_1760,wallet_2585,613
wallet_838,wallet_647,458
wallet_50,wallet_2403,297
wallet_207,wallet_760,483
wallet_1897,wallet_4250,85
wallet_4203,wallet_922,470
wallet_2052,wallet_3760,439
wallet_3165,wallet_4579,160
wallet_3689,wallet_1648,645
wallet_877,wallet_3792,311
wallet_4497,wallet_3400,6
wallet_1610,wallet_1775,481
wallet_1302,wallet_702,385
wallet_4333,wallet_300,800
wallet_2971,wallet_823,458
wallet_4220,wallet_387,572
wallet_2224,wallet_2118,349
wallet_569,wallet_1629,61
wallet_4734,wallet_754,358
wallet_694,wallet_1525,134
wallet_1095,wallet_901,400
wallet_3834,wallet_1866,5
wallet_2537,wallet_3683,294
wallet_852,wallet_957,765
wallet_4293,wallet_2066,574
wallet_4692,wallet_4638,531
wallet_2544,wallet_4278,317
wallet_2211,wallet_3743,410
wallet_2468,wallet_972,443
wallet_1419,wallet_3964,424
wallet_3797,wallet_3665,546
wallet_28,wallet_649,485
wallet_2921,wallet_3981,315
wallet_859,wallet_499,613
wallet_1063,wallet_4502,174
wallet_2276,wallet_987,163
wallet_4257,wallet_2773,716
wallet_1904,wallet_3776,377
wallet_1830,wallet_2809,169
wallet_2406,wallet_1457,548
wallet_3549,wallet_3972,71
wallet_775,wallet_1014,828
wallet_2836,wallet_2249,611
wallet_1949,wallet_3181,975
wallet_2760,wallet_2927,69
wallet_4044,wallet_1974,259
wallet_1861,wallet_3165,353
wallet_1257,wallet_3050,111
wallet_2640,wallet_3347,243
wallet_1666,wallet_4190,490
wallet_821,wallet_68,141
wallet_1824,wallet_3512,437
wallet_1392,wallet_1878,317
wallet_319,wallet_4857,591
wallet_276,wallet_3783,370
wallet_4420,wallet_2045,310
wallet_4006,wallet_1059,610
wallet_1586,wallet_892,266
wallet_1311,wallet_1290,156
wallet_2259,wallet_4160,103
wallet_688,wallet_4435,603
wallet_2073,wallet_4120,823
wallet_607,wallet_4454,155
wallet_4234,wallet_4410,157
wallet_114,wallet_3511,14
wallet_3003,wallet_2083,43
wallet_3152,wallet_1195,65
wallet_2266,wallet_2797,635
wallet_488,wallet_4358,58
wallet_353,wallet_949,829
wallet_4122,wallet_4653,446
wallet_1646,wallet_1552,866
wallet_4200,wallet_4375,933
wallet_213,wallet_1278,14
wallet_4114,wallet_4884,212
wallet_2634,wallet_1680,975
wallet_4316,wallet_3923,972
wallet_4371,wallet_3937,457
wallet_3873,wallet_3671,164
wallet_4665,wallet_2552,327
wallet_1791,wallet_3501,378
wallet_4401,wallet_1244,168
wallet_2014,wallet_3599,680
wallet_757,wallet_3704,672
wallet_3562,wallet_250,646
wallet_2584,wallet_2383,68
wallet_1840,wallet_3301,380
wallet_3409,wallet_225,528
wallet_953,wallet_3624,736
wallet_3356,wallet_4256,444
wallet_2641,wallet_232,806
wallet_1641,wallet_3801,312
wallet_3577,wallet_932,350
wallet_2601,wallet_150,174
wallet_2139,wallet_2059,307
wallet_2835,wallet_3005,409
wallet_205,wallet_2899,424
wallet_197,wallet_4571,481
wallet_1945,wallet_2811,996
wallet_967,wallet_2021,373
wallet_3451,wallet_4203,939
wallet_4097,wallet_4590,197
wallet_3684,wallet_3227,502
wallet_515,wallet_133,786
wallet_3712,wallet_3827,194
wallet_3939,wallet_1619,459
wallet_4699,wallet_538,488
wallet_4725,wallet_720,522
wallet_4403,wallet_4694,733
wallet_1441,wallet_1940,78
wallet_3105,wallet_3785,67
wallet_1351,wallet_3762,61
wallet_2016,wallet_679,208
wallet_18,wallet_1002,634
wallet_1170,wallet_4931,341
wallet_1908,wallet_4259,782
wallet_1574,wallet_4418,427
wallet_1966,wallet_1383,213
wallet_3586,wallet_719,54
wallet_1617,wallet_2389,724
wallet_3203,wallet_1464,669
wallet_3593,wallet_4299,539
wallet_858,wallet_1249,350
wallet_2622,wallet_1946,699
wallet_4578,wallet_2598,650
wallet_1000,wallet_595,420
wallet_3401,wallet_2473,43
wallet_1086,wallet_1380,627
wallet_3450,wallet_1712,824
wallet_735,wallet_679,393
wallet_3327,wallet_4258,804
wallet_4986,wallet_1346,332
wallet_232,wallet_4365,217
wallet_3849,wallet_1148,568
wallet_469,wallet_629,881
wallet_2256,wallet_1579,659
wallet_3709,wallet_1478,391
wallet_2129,wallet_3877,996
wallet_597,wallet_1423,148
wallet_3397,wallet_464,997
